category,subcategory,name,description,url,price,image
Keyboards/Keypads,Keyboard Accessories,Ergotron Deep Kb Tray F_Workfit-Tx,Personalize your WorkFit-TX Standing Desk Converter with a deeper keyboard tray to fit larger keyboards and mice.,/images/ERGOTRON_DEEP_KB_TRAY_F_WORKFIT-TX.jpg,54.98,/images/ERGOTRON_DEEP_KB_TRAY_F_WORKFIT-TX.jpg
Keyboards/Keypads,Keyboard and Mouse Bundle,Kensington Kb For Life Wireless Cmbo,"Mouse Dimensions: 3.8"" x 2.3"" x 1.3"" (96.4mm x 58mm x 33mm)~Mouse Weight: 80 grams~Keyboard Battery: 2 AAA batteries~Mouse Battery: 1 AA battery.",/images/KENSINGTON_KB_FOR_LIFE_WIRELESS_CMBO.jpg,96.77,/images/KENSINGTON_KB_FOR_LIFE_WIRELESS_CMBO.jpg
Keyboards/Keypads,Keyboards,Ikey Sealed Touchpad Keyboard,"The EKSB-97-TP is one of the very thin products, that is fully sealed and washable. It boasts a slim design and the added convenience of a built-in touchpad, along with larger keys for less data entry errors. Ideal for low-light areas, the keyboard is backlit with LED lighting. Meeting IP67 standards to be resistant to dirt, debris and liquids, it can easily withstand medical and industrial environments along with repeated cleaning procedures.",/images/IKEY_SEALED_TOUCHPAD_KEYBOARD.jpg,89.25,/images/IKEY_SEALED_TOUCHPAD_KEYBOARD.jpg
Keyboards/Keypads,Keyboards,Ken Pro Fit Wash Kb-Blk,"You wash your hands to protect yourself from germs. What about your keyboard? The Kensington Pro Fit USB Washable Keyboard can be run under your tap and washed to remove germs and contamination. Plus the built-in antimicrobial material provides continuous microbe resistance.<br><br><b>Features </b><br> Antimicrobial material prevents the growth of mold, mildew, and fungi <br> Rugged water-proof and washable* design resists spills and makes cleaning easy <br> Plug and play via USB<br> Soft-touch keys offer a crisp, responsive touch for added comfort <br> Black keyboard with 104-key layout <br> Keyboard designed for use in many different environments, such as hospitals, government offices, schools and more <br> *Never immerse the USB plug <br><br><b>Specifications</b><br> Compatible with Windows 95/98/NT/2000/XP/Vista <br> 104 Key layout <br> Standard size <br> Black color <br> PS2/USB connection<br> <br><b>Warranty</b><br>Pro Fit USB Washable Keyboard  is backed by the Kensington 2-Year warranty.<br><br>",/images/KEN_PRO_FIT_WASH_KB-BLK.jpg,74.42,/images/KEN_PRO_FIT_WASH_KB-BLK.jpg
Keyboards/Keypads,Keyboard Accessories,Chief Kb Tray Access Blk,The Chief keyboard tray monitor mount is perfect for mounting a keyboard to save valuable desk space at the home or office. Gives two inches in space and can be easily installed.,/images/CHIEF_KB_TRAY_ACCESS_BLK.jpg,83.48,/images/CHIEF_KB_TRAY_ACCESS_BLK.jpg
Keyboards/Keypads,Numeric Keypads,Pi Engineering Xk-60 Usb 60 Keys,"60 re-legendable keys<br><br>Addressable blue and red backlighting for each key<br><br>Create a bump bar or custom control pad with keycaps and key blockers<br><br>Hardware mode features support keyboard, mouse, and joystick emulation<br><br>USB HID class device<br><br>",/images/PI_ENGINEERING_XK-60_USB_60_KEYS.jpg,84.05,/images/PI_ENGINEERING_XK-60_USB_60_KEYS.jpg
Keyboards/Keypads,Numeric Keypads,Genovation Lcd Mini Term 12 Usb,The Genovation MiniTerm 904 is a fully programmable LCD mini-terminal. The MiniTerm 904 supports simple and complex re-programmable key macros and system configurations. Includes detachable serial (RS232) and USB cables for easy setup and different applications.,/images/GENOVATION_LCD_MINI_TERM_12_USB.jpg,62.03,/images/GENOVATION_LCD_MINI_TERM_12_USB.jpg
Keyboards/Keypads,Keyboards,Ikey Slim Dual Connectivity Kb,"This fully-sealed keyboard is designed to meet NEMA 4X specifications, meaning it is resistant to dirt, dust, water, ice and corrosives. Built with an industrial silicone rubber keypad and a rugged ABS polycarbonate case, the BT-870-TP-SLIM is easy to clean with disinfectants. The compact design and internal Bluetooth module make the BT-870-TP-SLIM highly portable. In addition, its red LED backlighting is ideal for nighttime or ambient-light use.",/images/IKEY_SLIM_DUAL_CONNECTIVITY_KB.jpg,56.0,/images/IKEY_SLIM_DUAL_CONNECTIVITY_KB.jpg
Keyboards/Keypads,Wireless Keyboards,Keyovation Goldtouch Go Kb & Nb Stnd,"The Goldtouch Go!2 ErogSuite Bundle combines two of the favorite things: The Go!2 Mobile Keyboard and The Go! Travel Laptop &amp; Tablet Stand. With this power packed suite, you'll get the best of both worlds and a desktop that will the envy of the whole office. Your coworkers will be jealous - and your body will thank you.~The sleek and slim Goldtouch Go!2 Mobile Keyboard is the perfect work and travel companion for the on-the-go worker. From the office to the airplane, this lightweight keyboard goes where you do and adjusts to your needs, allowing you to be maximally productive regardless of venue. Isn't that what a keyboard is meant to do?~Goldtouch helps bring your Laptop to new heights with the Go! Travel Laptop &amp; Tablet Stand. No more contorting your body into awkward positions to see the screen. With this travel laptop and tablet stand, you can hack even the least ideal workspace into an ergonomic haven.",/images/KEYOVATION_GOLDTOUCH_GO_KB_&_NB_STND.jpg,72.09,/images/KEYOVATION_GOLDTOUCH_GO_KB_&_NB_STND.jpg
Keyboards/Keypads,Keyboards,Esterline Med Essential 104 Usb Kb,"The flat, silicon surface of the Medigenic Essential Keyboard makes it fast and easy for hospital staff to clean the keyboard and comply with Infection Control best practices. Simply wipe the keyboard down with any hospital grade cleaner and the keyboard is disinfected in less than 10 seconds. Underneath the flexible and soft silicone elastomer surface is a standard scissor key mechanism that enables rapid typing input with excellent tactile feel, you can actually touch type on this keyboard.",/images/ESTERLINE_MED_ESSENTIAL_104_USB_KB.jpg,35.91,/images/ESTERLINE_MED_ESSENTIAL_104_USB_KB.jpg
