category,subcategory,name,description,url,price,image
Keyboards/Keypads,Numeric Keypads,Genovation Lcd Mini Term 12 Usb,The Genovation MiniTerm 904 is a fully programmable LCD mini-terminal. The MiniTerm 904 supports simple and complex re-programmable key macros and system configurations. Includes detachable serial (RS232) and USB cables for easy setup and different applications.,/cdw_images/GENOVATION_LCD_MINI_TERM_12_USB.jpg,58.63,/cdw_images/GENOVATION_LCD_MINI_TERM_12_USB.jpg
Keyboards/Keypads,Keyboards,Ken Pro Fit Wash Kb-Blk,"You wash your hands to protect yourself from germs. What about your keyboard? The Kensington Pro Fit USB Washable Keyboard can be run under your tap and washed to remove germs and contamination. Plus the built-in antimicrobial material provides continuous microbe resistance.<br><br><b>Features </b><br> Antimicrobial material prevents the growth of mold, mildew, and fungi <br> Rugged water-proof and washable* design resists spills and makes cleaning easy <br> Plug and play via USB<br> Soft-touch keys offer a crisp, responsive touch for added comfort <br> Black keyboard with 104-key layout <br> Keyboard designed for use in many different environments, such as hospitals, government offices, schools and more <br> *Never immerse the USB plug <br><br><b>Specifications</b><br> Compatible with Windows 95/98/NT/2000/XP/Vista <br> 104 Key layout <br> Standard size <br> Black color <br> PS2/USB connection<br> <br><b>Warranty</b><br>Pro Fit USB Washable Keyboard  is backed by the Kensington 2-Year warranty.<br><br>",/cdw_images/KEN_PRO_FIT_WASH_KB-BLK.jpg,34.43,/cdw_images/KEN_PRO_FIT_WASH_KB-BLK.jpg
Keyboards/Keypads,Keyboard Accessories,Chief Kb Tray Access Blk,The Chief keyboard tray monitor mount is perfect for mounting a keyboard to save valuable desk space at the home or office. Gives two inches in space and can be easily installed.,/cdw_images/CHIEF_KB_TRAY_ACCESS_BLK.jpg,50.95,/cdw_images/CHIEF_KB_TRAY_ACCESS_BLK.jpg
Keyboards/Keypads,Keyboards,Ikey Usb Keyboard Backlit Sealed,"iKey's innovative SL-91 mobile keyboard was designed to accommodate rugged applications in manufacturing, material handling and remote data entry. Its unique epoxy-coated keys are arranged for convenient gloved-hand use. It features a small-footprint design, mounting holes in its case and a 10-key numeric pad. Like other keyboards in the iKey line, the SL-91 is constructed using a robust polycarbonate case and industrial silicone keypad, sealing it from dust, liquids and corrosives.",/cdw_images/IKEY_USB_KEYBOARD_BACKLIT_SEALED.jpg,65.06,/cdw_images/IKEY_USB_KEYBOARD_BACKLIT_SEALED.jpg
Keyboards/Keypads,Keyboards,Pi Engineering  Xkeys Xk-24 Usb Kb,"The X-keys XK-24 features 24 keys with independent backlighting, a co-injected case with soft sides suitable for hand-held applications, and a profile which is equally attractive in portrait or landscape orientation. Two snap in feet give the XK-24 a slight angle on the desk top.<br><br>The XK-24 combines the tradition of rugged, reliable X-keys with added features for the same price as X-keys desktop. With four more keys in a smaller footprint, the XK-24 sports a co-injected case suitable for handheld applications.<br><br>The XK-24 looks equally at home on the desktop in portrait or landscape orientation. Detachable feet improve the viewing angle of your key legends.<br><br>Clear key lenses keep your printed or hand written legends securely in place and protect them from wear while making it quick and easy to update them. The full travel keys have the same feel as your standard keyboard.",/cdw_images/PI_ENGINEERING__XKEYS_XK-24_USB_KB.jpg,91.93,/cdw_images/PI_ENGINEERING__XKEYS_XK-24_USB_KB.jpg
Keyboards/Keypads,Keyboard Accessories,Ken Underdesk Kb Drawer,Keyboard drawer mounts under desk and easily glides out of the way when not in use. Four mounting levels at different heights allow you the flexibility to find the most comfortable typing position.<br><br>,/cdw_images/KEN_UNDERDESK_KB_DRAWER.jpg,80.13,/cdw_images/KEN_UNDERDESK_KB_DRAWER.jpg
Keyboards/Keypads,Keyboards,Ken Pro Fit Wired Comfort Usb/Ps2 Kb,"The Kensington Pro Fit Wired Comfort Keyboard can be user configured in nine different positive, neutral and negative positions for totally customized fit. And the fully padded wrist wrest offers support and comfort for natural typing. The dedicated quick keys provide access to the internet and multimedia. And the spill-proof keyboard resists coffee, water, soda and other liquids. It offers reliable plug-and-play operation with a wired USB or PS2 connection.",/cdw_images/KEN_PRO_FIT_WIRED_COMFORT_USB/PS2_KB.jpg,93.34,/cdw_images/KEN_PRO_FIT_WIRED_COMFORT_USB/PS2_KB.jpg
Keyboards/Keypads,Keyboard Accessories,Ergotron Deep Kb Tray F/Workfit-Tx,Personalize your WorkFit-TX Standing Desk Converter with a deeper keyboard tray to fit larger keyboards and mice.,/cdw_images/ERGOTRON_DEEP_KB_TRAY_F/WORKFIT-TX.jpg,92.42,/cdw_images/ERGOTRON_DEEP_KB_TRAY_F/WORKFIT-TX.jpg
Keyboards/Keypads,Keyboards,Ikey Sealed Mobile Kb W/Touchpad,"The SB-87-TP is iKey's thinnest keyboard to date, measuring only half an inch deep. Its sealed, streamlined case and silicone rubber keys meet IP65 standards, making it fully resistant to spills, cleaning procedures and the elements. Built for convenience and versatility in mobile computing applications, the SB-87-TP features an integrated touchpad, eliminating the need for an external pointing device. In addition, its red LED backlighting is ideal for nighttime or ambient-light use.",/cdw_images/IKEY_SEALED_MOBILE_KB_W/TOUCHPAD.jpg,84.96,/cdw_images/IKEY_SEALED_MOBILE_KB_W/TOUCHPAD.jpg
Keyboards/Keypads,Keyboards,Ikey Nema 4X Led Usb Kb W/Trackball,"The DBL-810-TB is constructed using a highly rugged, stainless steel case and industrial silicone rubber pad. The DBL-810-TB's trackball pointing device is a completely sealed 25 mm unit. The trackball is operated using sealed stainless steel switches with left, right and middle click functions. The DBL-810-TB features integrated LED backlighting for use in low-light environments.",/cdw_images/IKEY_NEMA_4X_LED_USB_KB_W/TRACKBALL.jpg,77.33,/cdw_images/IKEY_NEMA_4X_LED_USB_KB_W/TRACKBALL.jpg
